127,266,146,65,68,66,112,437,124,78,68,69,57,132,171,56,57,99,253,293,69,70,86,70,70,124,68,88,110,89
130,254,146,66,68,66,70,840,140,77,68,69,56,134,208,56,57,105,210,212,70,70,82,70,73,98,60,206,111,78
132,264,146,66,71,66,69,545,132,80,68,135,57,136,176,56,57,104,213,196,70,69,80,70,71,101,65,204,109,193
120,256,146,66,71,66,99,370,126,72,68,69,56,130,183,56,57,105,183,190,70,69,88,70,72,94,61,196,117,389
123,257,147,65,70,66,101,374,128,72,68,69,56,130,184,57,57,106,186,193,70,69,88,68,61,118,68,205,117,354
66,341,149,66,76,1231,68,416,116,72,68,308,56,176,127,56,57,132,69,1474,69,70,87,69,72,112,64,234,81,66
66,350,156,66,75,1292,69,401,117,78,68,287,56,154,133,56,57,118,69,1335,69,69,91,69,73,119,68,241,79,73
153,320,178,66,78,66,69,518,131,71,68,68,57,550,177,56,57,79,69,254,276,70,86,70,74,126,71,208,111,73
162,358,176,66,78,66,69,504,132,71,69,93,57,534,177,56,57,87,69,252,281,69,94,69,65,126,75,225,113,66
137,290,149,66,78,66,70,505,121,78,68,69,59,1245,166,57,57,93,128,399,70,69,94,69,70,137,72,252,78,75
140,290,148,66,78,66,69,513,105,77,68,68,59,1212,161,56,57,93,126,405,72,70,95,70,68,124,71,258,72,64
135,265,156,66,71,66,111,444,118,76,70,69,57,205,144,56,57,201,111,322,69,69,101,117,62,110,81,229,116,66
170,271,166,66,73,66,112,462,120,76,78,69,56,212,144,56,57,217,112,310,70,70,106,106,74,112,71,222,119,77
136,220,139,65,70,66,110,469,121,80,68,69,56,206,149,57,57,56,176,217,70,68,78,70,80,119,73,240,98,65
134,207,140,66,70,66,110,466,120,81,69,69,56,224,150,56,56,57,205,210,70,73,78,70,82,108,72,232,99,66
66,223,149,66,68,417,69,398,106,71,69,569,56,160,194,57,57,80,169,188,70,69,75,73,67,124,72,230,126,87
88,245,147,65,76,66,100,360,125,74,68,69,57,115,149,57,57,149,70,312,70,69,92,70,66,145,67,92,122,68
66,224,144,65,76,66,99,347,123,76,69,69,56,124,152,56,57,146,61,321,70,69,92,69,74,150,58,86,129,73
152,316,174,66,66,66,70,1008,113,78,68,68,56,166,174,57,57,56,190,198,69,69,82,70,128,101,74,286,126,78
152,318,174,66,66,66,70,1009,113,79,68,68,56,165,179,56,57,56,192,197,70,70,76,74,123,104,78,291,129,88
66,204,137,65,69,66,100,445,200,382,68,68,56,192,221,57,109,56,198,222,70,69,74,70,67,124,78,279,115,129
69,1216,149,66,66,66,69,334,114,77,69,302,56,176,231,56,57,57,76,237,67,70,92,70,71,99,67,253,92,71
112,1294,157,65,69,66,68,331,114,80,69,281,56,176,238,56,57,57,78,330,68,69,96,70,76,98,72,276,127,88
144,201,145,65,66,66,69,387,85,70,70,727,56,133,230,56,58,470,224,220,68,70,77,71,67,135,74,272,117,90
68,1095,152,65,66,66,70,721,69,73,68,68,56,138,276,56,56,56,216,238,982,70,83,70,93,139,69,306,73,1488
68,1123,156,65,66,66,69,762,68,72,68,68,56,134,274,56,56,57,219,236,1018,73,90,70,81,134,74,309,82,1463
66,305,158,66,69,66,99,257,114,68,69,69,56,144,288,56,57,56,230,252,70,70,117,69,68,120,72,260,101,139
66,311,159,66,70,66,100,257,115,68,69,69,56,144,289,56,57,56,230,251,70,69,118,74,72,111,62,264,101,138
66,422,146,66,72,449,69,468,111,80,68,68,56,144,285,56,57,56,225,246,70,69,122,70,72,97,69,296,98,214
149,309,171,66,68,66,106,851,112,77,68,69,56,169,290,57,57,101,152,277,70,69,100,70,65,92,66,216,116,154
150,296,169,65,68,66,122,943,86,78,68,69,56,168,292,56,57,123,69,233,70,69,113,70,72,127,59,232,123,158
131,338,147,65,68,590,102,167,100,76,80,69,56,273,279,56,57,194,224,296,74,69,103,130,78,122,71,210,115,162
66,360,156,65,66,66,98,182,113,78,68,69,56,211,288,56,57,136,146,244,70,69,117,119,72,127,72,88,120,115
66,465,177,65,68,334,105,171,109,75,68,69,56,196,316,57,57,56,126,225,70,70,87,72,73,137,72,249,112,119
66,462,179,66,68,335,105,170,108,75,68,69,56,195,318,56,57,57,125,222,70,69,86,70,75,137,72,251,117,120
155,343,151,66,69,66,105,160,114,77,68,69,56,215,328,56,57,56,186,278,70,69,110,70,70,111,68,253,73,77
194,360,152,65,69,66,105,165,115,78,68,69,57,218,328,56,57,57,187,278,70,69,111,70,67,120,73,265,98,75
239,386,156,65,69,66,105,167,114,72,68,69,56,218,326,56,56,56,188,279,70,70,103,68,67,115,74,289,105,589
239,375,159,66,68,66,106,166,115,74,68,69,56,220,326,56,57,57,187,280,69,69,109,70,62,122,68,290,90,280
239,374,152,65,68,66,105,214,102,80,69,69,56,166,325,56,57,56,222,226,69,70,107,70,56,114,68,227,101,67
253,445,196,66,72,164,114,590,68,80,69,68,56,162,326,56,57,56,213,227,70,68,106,71,72,126,66,269,65,180
224,451,188,65,73,198,115,724,68,72,70,68,57,164,329,56,57,57,214,226,74,70,100,69,82,139,66,272,66,247
146,187,138,66,74,646,69,238,69,70,69,150,56,205,326,56,56,98,200,224,73,70,106,70,76,131,63,271,101,92
163,369,152,65,68,66,69,374,113,76,70,620,57,233,197,56,56,56,211,237,71,70,99,70,73,136,65,279,61,92
161,365,149,65,67,66,99,234,109,76,69,69,56,166,323,57,57,57,235,236,72,69,75,70,70,111,66,263,86,98
144,66,137,65,77,1350,69,231,110,71,70,126,56,163,317,56,57,57,199,225,70,69,86,69,82,127,71,260,88,92
149,66,163,66,74,1454,69,218,110,70,69,130,56,163,312,56,57,57,202,228,70,69,86,70,88,124,66,250,78,91
208,368,177,66,74,66,94,197,107,70,74,69,57,149,321,56,57,57,159,150,70,70,97,70,88,124,75,314,98,72
194,342,147,66,73,66,69,398,68,72,70,626,56,175,312,57,57,269,148,157,178,69,104,70,64,120,76,294,84,86
180,369,150,66,78,66,69,345,116,69,69,162,56,134,173,56,57,110,174,157,133,73,96,72,64,126,90,140,101,68
